Significant,p-value(-log10),Difference(z-score),Protein IDs,Majority protein IDs,uniprot,Symbol color,Symbol type,Symbol size,Show label,GOBP name,GOMF name,GOCC name,Taxonomy,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS Count,oxidized 48h a LFQ,oxidized 72h a LFQ,oxidized 48h b LFQ,oxidized 72h b LFQ,oxidized 48h c LFQ,oxidized 72h c LFQ,reduced 48h a LFQ,reduced 72h a LFQ,reduced 48h b LFQ,reduced 72h b2 LFQ,reduced 48h c LFQ,reduced 72h c LFQ
+,1.676016446,0.707727214,sp|P38256|YBU6_YEAST,sp|P38256|YBU6_YEAST,P38256,Color [DarkGray],1,4,+,,,,YBU6_YEAST,6,6,6,37.8,37.8,37.8,27.092,0,19.637,478400000,48,-1.159193,-0.5185002,-0.6401561,-0.7136027,-0.6573817,-0.756363,-1.69415,-1.479263,-1.493968,-1.318811,-1.391794,-1.324528
+,2.829429379,-0.565841084,sp|P41058|RS29B_YEAST,sp|P41058|RS29B_YEAST,P41058,Color [DarkGray],1,4,+,binding;cation binding;ion binding;metal ion binding;structural constituent of ribosome;structural molecule activity,cell part;cytosolic small ribosomal subunit;intracellular organelle part;intracellular part;macromolecular complex;organelle part;ribonucleoprotein complex;small ribosomal subunit,biosynthetic process;cellular metabolic process;cellular process;cytoplasmic translation;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;translation,RS29B_YEAST,6,6,5,69.6,69.6,50,6.7276,0,18.563,3003200000,92,-0.7006115,0.5417712,-0.6049442,-0.7606263,-0.7628536,-0.6994811,-0.1788895,0.2855034,-0.01053323,-0.3433885,-0.1814633,-1.490779
+,1.557886665,0.761075507,sp|P46992|YJR1_YEAST,sp|P46992|YJR1_YEAST,P46992,Color [DarkGray],1,4,+,,anchored to membrane;cell part;cell wall;external encapsulating structure;fungal-type cell wall;intrinsic to membrane;membrane;membrane part;plasma membrane,,YJR1_YEAST,6,6,6,19.7,19.7,19.7,42.957,0,26.204,1184500000,50,-0.7534506,-0.7159729,-0.3865956,-0.5299602,-1.072287,-0.764414,-1.529313,-1.061055,-1.665543,-1.931635,-1.300703,-1.22237
+,2.905276838,0.730197082,sp|P50087|MIC26_YEAST,sp|P50087|MIC26_YEAST,P50087,Color [DarkGray],1,4,+,,cell part;crista junction;cytoplasmic part;intracellular organelle part;intracellular part;mitochondrial part;organelle part,cellular component organization;cellular membrane organization;cellular process;membrane organization;mitochondrion organization;organelle organization,MIC26_YEAST,6,6,6,40.8,40.8,40.8,26.912,0,26.931,326480000,37,-0.4648642,-0.5054955,-0.6413118,-0.8177293,-0.6707436,-1.09444,-1.330572,-1.244524,-1.21012,-1.485541,-1.426818,-1.342851
+,2.841106883,0.746039639,sp|P25567|SRO9_YEAST,sp|P25567|SRO9_YEAST,P25567,Color [DarkGray],1,4,+,binding;nucleic acid binding;RNA binding,cell part;cytoplasmic part;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular part;macromolecular complex;non-membrane-bounded organelle;organelle;polysome;ribonucleoprotein complex;RNA granule;stress granule,biosynthetic process;cellular metabolic process;cellular process;cytoplasmic translation;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;translation,SRO9_YEAST,7,7,7,26.3,26.3,26.3,48.059,0,93.247,445950000,50,-0.3650124,-1.397246,-0.5611523,-0.8386236,-0.5032692,-1.03509,-1.074831,-1.490916,-1.324163,-1.317186,-1.268558,-0.2922307
+,1.194706779,-1.123969754,sp|P25619|HSP30_YEAST,sp|P25619|HSP30_YEAST,P25619,Color [DarkGray],1,4,+,,cell part;integral to membrane;intrinsic to membrane;membrane;membrane part;plasma membrane,biological regulation;cellular process;response to abiotic stimulus;response to chemical stimulus;response to DNA damage stimulus;response to heat;response to osmotic stress;response to oxidative stress;response to stimulus;response to stress,HSP30_YEAST,7,7,7,36.1,36.1,36.1,37.044,0,272.22,20097000000,314,0.3614177,-0.6737591,-1.017726,0.7890668,0.2047766,0.6023208,0.8682816,0.7882129,0.9354793,0.9736004,1.116616,0.875135
+,1.523101339,-0.788817391,sp|P28707|SBA1_YEAST,sp|P28707|SBA1_YEAST,P28707,Color [DarkGray],1,4,+,binding;chaperone binding;protein binding,cell part;cytoplasm;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;nucleus;organelle,biological regulation;cellular metabolic process;cellular process;macromolecule metabolic process;metabolic process;primary metabolic process;protein folding;protein metabolic process;regulation of DNA metabolic process;regulation of organelle organization,SBA1_YEAST,7,7,7,29.6,29.6,29.6,24.081,0,73.341,2664100000,136,-0.5594975,-1.113875,-0.7702041,-0.8617015,-1.358586,-0.4645034,-0.09694804,-1.361033,-0.1135542,-0.06850995,-0.1113336,0.09011613
+,2.566210033,-0.692627206,sp|P33204|ARPC4_YEAST,sp|P33204|ARPC4_YEAST,P33204,Color [DarkGray],1,4,+,structural molecule activity,actin cortical patch;Arp2/3 protein complex;cell cortex part;cell part;cytoplasmic part;cytoskeletal part;intracellular organelle part;intracellular part;macromolecular complex;organelle part;protein complex,biological regulation;cellular component assembly;cellular component organization;cellular localization;cellular macromolecular complex assembly;cellular process;cytoskeleton organization;localization;macromolecular complex assembly;mitochondrion organization;organelle inheritance;organelle localization;organelle organization;protein complex assembly;protein polymerization;regulation of organelle organization,ARPC4_YEAST,7,7,7,60.8,60.8,60.8,19.916,0,256.94,2217500000,104,-0.9311349,-0.577323,-0.9851391,0.06703448,-1.072482,-0.06758261,-0.1273732,-0.6130648,-0.3242796,0.000772094,-0.4592216,-0.09425147
+,1.500289824,0.834362507,sp|P47001|CIS3_YEAST,sp|P47001|CIS3_YEAST,P47001,Color [DarkGray],1,4,+,structural constituent of cell wall;structural molecule activity,cell part;cell wall;cellular bud tip;external encapsulating structure;extracellular region;fungal-type cell wall;site of polarized growth,cell wall organization;cell wall organization or biogenesis;cellular cell wall organization;cellular cell wall organization or biogenesis;cellular component organization;cellular process;external encapsulating structure organization,CIS3_YEAST,7,7,6,36.6,36.6,33,23.241,0,33.897,15036000000,192,1.379619,0.9454693,1.792628,1.452125,0.936334,0.9676284,0.5377513,0.9660423,0.657407,0.4849883,0.410335,0.3665097
+,1.256199985,1.146254758,sp|P54003|SUR7_YEAST,sp|P54003|SUR7_YEAST,P54003,Color [DarkGray],1,4,+,,cell cortex;cell part;cytoplasmic part;integral to membrane;intracellular part;intrinsic to membrane;membrane;membrane part;membrane raft;plasma membrane,anatomical structure development;anatomical structure formation involved in morphogenesis;ascospore formation;cell development;cell differentiation;cellular component organization;cellular membrane organization;cellular process;developmental process;endocytosis;establishment of localization;membrane invagination;membrane organization;reproduction;sporulation;transport;vesicle-mediated transport,SUR7_YEAST,7,7,7,41.4,41.4,41.4,33.829,0,59.455,530160000,47,-1.160318,-1.19831,-0.7325071,-0.5885926,-0.7147656,-0.6111737,-1.322846,-1.735388,-2.00557,-1.273504,-2.717939,-1.243901
+,2.462183083,-0.841478497,sp|P40043|RGI1_YEAST,sp|P40043|RGI1_YEAST,P40043,Color [DarkGray],1,4,+,,cell part;cell periphery;membrane;plasma membrane,cellular metabolic process;cellular process;energy reserve metabolic process;generation of precursor metabolites and energy;metabolic process,RGI1_YEAST,8,8,8,69.6,69.6,69.6,18.989,0,113.57,3028200000,104,-0.8063927,-0.8331126,-0.6550454,-0.3916312,-1.067311,-0.8576918,0.05555566,0.3399139,0.06704882,0.3715342,-0.1269179,-0.7142563
+,1.822351651,0.886356632,sp|P49017|COQ5_YEAST,sp|P49017|COQ5_YEAST,P49017,Color [DarkGray],1,4,+,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity;2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity;catalytic activity;C-methyltransferase activity;methyltransferase activity;quinone cofactor methyltransferase activity;transferase activity;transferase activity, transferring one-carbon groups",cell part;cytoplasmic part;intracellular organelle lumen;intracellular organelle part;intracellular part;membrane;membrane-enclosed lumen;mitochondrial inner membrane;mitochondrial matrix;mitochondrial membrane;mitochondrial part;organelle inner membrane;organelle lumen;organelle membrane;organelle part,biosynthetic process;cellular ketone metabolic process;cellular metabolic process;cellular process;cellular respiration;cofactor metabolic process;generation of precursor metabolites and energy;metabolic process;small molecule metabolic process,COQ5_YEAST,8,8,8,38.8,38.8,38.8,34.684,0,40.601,317750000,36,-0.888235,-0.7642682,-0.2819488,-0.7335348,-0.7827524,-0.8967912,-1.670439,-1.485342,-1.318701,-0.828198,-1.622866,-1.176464
+,1.387824218,0.675953468,sp|Q03144|SNO1_YEAST,sp|Q03144|SNO1_YEAST,Q03144,Color [DarkGray],1,4,+,"catalytic activity;glutaminase activity;hydrolase activity;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides;transferase activity",,amine metabolic process;biological regulation;biosynthetic process;catabolic process;cellular amino acid metabolic process;cellular ketone metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cofactor metabolic process;heterocycle metabolic process;metabolic process;nitrogen compound metabolic process;organic acid metabolic process;primary metabolic process;small molecule metabolic process;vitamin metabolic process,SNO1_YEAST,8,8,7,55.4,55.4,52.2,24.906,0,65.202,881120000,44,-0.8177938,-0.7346748,-0.3517796,-0.8435541,-0.8638871,-0.6336422,-1.212906,-0.6627636,-1.179794,-1.584016,-1.668622,-1.177119
+,2.477655094,1.354320658,sp|Q08745|RS10A_YEAST,sp|Q08745|RS10A_YEAST,Q08745,Color [DarkGray],1,4,+,structural constituent of ribosome;structural molecule activity,cell part;cytosolic small ribosomal subunit;intracellular organelle part;intracellular part;macromolecular complex;organelle part;ribonucleoprotein complex;small ribosomal subunit,biosynthetic process;cellular metabolic process;cellular process;cytoplasmic translation;establishment of localization;macromolecule metabolic process;metabolic process;nuclear transport;nucleobase-containing compound transport;nucleocytoplasmic transport;primary metabolic process;protein metabolic process;translation;transport,RS10A_YEAST,8,8,1,86.7,86.7,7.6,12.739,0,139.87,6341600000,151,1.44622,0.6751021,0.8746508,1.268787,0.8467498,-0.05729247,-0.353947,0.3369112,-0.4249876,-0.3297371,-0.1164063,0.378777
+,1.404143092,0.648728271,sp|Q6Q560|ISD11_YEAST,sp|Q6Q560|ISD11_YEAST,Q6Q560,Color [DarkGray],1,4,+,,cell part;cytoplasmic part;extrinsic to membrane;extrinsic to mitochondrial inner membrane;extrinsic to organelle membrane;intracellular organelle lumen;intracellular organelle part;intracellular part;membrane part;membrane-enclosed lumen;mitochondrial matrix;mitochondrial membrane part;mitochondrial part;organelle lumen;organelle part,biosynthetic process;cellular metabolic process;cellular process;cofactor metabolic process;metabolic process,ISD11_YEAST,8,8,8,59.6,59.6,59.6,11.266,0,40.401,749970000,43,-1.11728,-0.6860101,-1.302691,-0.9174734,-0.7152476,-0.7268587,-1.542243,-1.661738,-1.591642,-1.160488,-1.947519,-1.271011
+,1.456212851,0.837489824,sp|Q92317|NCB2_YEAST,sp|Q92317|NCB2_YEAST,Q92317,Color [DarkGray],1,4,+,binding;chromatin binding;core promoter binding;DNA binding;nucleic acid binding;protein binding transcription factor activity;regulatory region DNA binding;regulatory region nucleic acid binding;RNA polymerase II basal transcription factor binding transcription factor activity;RNA polymerase II transcription factor binding transcription factor activity;sequence-specific DNA binding;TBP-class protein binding RNA polymerase II transcription factor activity;TBP-class protein binding RNA polymerase II transcription factor activity involved in preinitiation complex assembly;transcription cofactor activity;transcription corepressor activity;transcription factor binding transcription factor activity;transcription regulatory region DNA binding,cell part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane-bounded organelle;negative cofactor 2 complex;nuclear part;nucleoplasm part;nucleus;organelle;organelle part;protein complex;transcriptional repressor complex,biological regulation;cellular component assembly;cellular component organization;cellular macromolecular complex assembly;cellular process;macromolecular complex assembly,NCB2_YEAST,8,8,8,46.6,46.6,46.6,16.65,0,16.897,373640000,42,-0.337925,-1.388566,-0.5952472,-0.9559613,-0.6896248,-1.039407,-1.864667,-1.090247,-1.076334,-1.251507,-1.194265,-1.031921
+,2.547144402,0.49820745,sp|O14455|RL36B_YEAST,sp|O14455|RL36B_YEAST,O14455,Color [DarkGray],1,4,+,binding;nucleic acid binding;RNA binding;structural constituent of ribosome;structural molecule activity,cell part;cytosolic large ribosomal subunit;intracellular organelle part;intracellular part;large ribosomal subunit;macromolecular complex;organelle part;ribonucleoprotein complex,biosynthetic process;cellular metabolic process;cellular process;cytoplasmic translation;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;translation,RL36B_YEAST,9,9,2,52,52,10,11.135,0,245.5,13389000000,312,0.7657397,0.6463614,0.9559107,0.7837146,0.8573341,0.7908554,0.366989,0.7730943,0.4502351,0.3720285,0.267138,0.4666212
+,2.051404693,-1.248385072,sp|P07143|CY1_YEAST,sp|P07143|CY1_YEAST,P07143,Color [DarkGray],1,4,+,"binding;cation binding;electron carrier activity;electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity;heme binding;ion binding;iron ion binding;metal ion binding;tetrapyrrole binding;transition metal ion binding",cell part;cytoplasmic part;cytosol;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane part;membrane-enclosed lumen;mitochondrial inner membrane;mitochondrial intermembrane space;mitochondrial membrane;mitochondrial membrane part;mitochondrial part;mitochondrial respiratory chain;mitochondrial respiratory chain complex III;organelle envelope lumen;organelle inner membrane;organelle membrane;organelle part;protein complex;respiratory chain;respiratory chain complex III,cellular metabolic process;cellular process;generation of precursor metabolites and energy;metabolic process;oxidative phosphorylation;phosphorus metabolic process,CY1_YEAST,9,9,9,40.1,40.1,40.1,34.054,0,258.24,5093200000,239,-0.4584274,-1.072186,-0.9744792,-0.7454348,-1.349823,-0.6935034,0.4073536,0.4051773,0.2898443,0.3052187,0.2652279,0.5718831
+,2.078858313,-0.49325118,sp|P32939|YPT7_YEAST,sp|P32939|YPT7_YEAST,P32939,Color [DarkGray],1,4,+,"binding;catalytic activity;GTP binding;GTPase activity;guanyl nucleotide binding;guanyl ribonucleotide binding;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;nucleoside-triphosphatase activity;nucleotide binding;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;pyrophosphatase activity;ribonucleotide binding",cell part;cytoplasmic part;fungal-type vacuole;fungal-type vacuole membrane;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;lytic vacuole;membrane;membrane-bounded organelle;organelle;organelle membrane;organelle part;storage vacuole;vacuolar membrane;vacuolar part;vacuole,autophagy;biological regulation;catabolic process;cellular component organization;cellular localization;cellular membrane organization;cellular metabolic process;cellular process;endocytosis;endosome transport;establishment of localization;localization;membrane invagination;membrane organization;metabolic process;organelle inheritance;organelle organization;protein transport;regulation of organelle organization;response to stimulus;signal transduction;transport;vacuole organization;vesicle-mediated transport,YPT7_YEAST,9,9,9,60.6,60.6,60.6,23.042,0,296.58,2000500000,142,-0.8101683,-0.633211,-0.9424667,-0.41094,-0.6541305,-0.9271351,-0.2709233,-0.35485,-0.2325945,-0.3618125,-0.4234941,-0.6084444
+,1.650969933,0.475323439,sp|P36151|YK50_YEAST,sp|P36151|YK50_YEAST,P36151,Color [DarkGray],1,4,+,,,,YK50_YEAST,9,9,9,37.8,37.8,37.8,39.406,0,60.77,560820000,46,-0.7850542,-0.759225,-0.8745411,-1.39721,-0.7001778,-0.4343264,-1.201484,-1.219412,-1.495484,-1.190287,-1.088775,-0.281137
