Significant,pvalue,Difference,Protein IDs,Majority protein IDs,uniprot,Symbol color,Symbol type,Symbol size,Show label,GOBP name,GOMF name,GOCC name,Taxonomy,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS Count,oxidized 48h a LFQ,oxidized 72h a LFQ,oxidized 48h b LFQ,oxidized 72h b LFQ,oxidized 48h c LFQ,oxidized 72h c LFQ,reduced 48h a LFQ,reduced 72h a LFQ,reduced 48h b LFQ,reduced 72h b2 LFQ,reduced 48h c LFQ,reduced 72h c LFQ
+,2.436632817,0.342394034,sp|P0C0V8|RS21A_YEAST,sp|P0C0V8|RS21A_YEAST,P0C0V8,Color [DarkGray],1,4,,structural constituent of ribosome;structural molecule activity,cell part;cytosolic small ribosomal subunit;intracellular organelle part;intracellular part;macromolecular complex;organelle part;ribonucleoprotein complex;small ribosomal subunit,biosynthetic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cytoplasmic translation;macromolecule metabolic process;metabolic process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;protein metabolic process;RNA metabolic process;RNA processing;rRNA processing;translation,RS21A_YEAST,9,9,1,82.8,82.8,18.4,9.7457,0,233.98,6607400000,313,1.208136,1.188861,0.9926758,1.204019,0.9577889,1.055971,0.3672184,0.7818463,0.7005103,0.8682984,0.7601484,0.7715238
+,2.331162654,0.64841785,sp|P39105|PLB1_YEAST,sp|P39105|PLB1_YEAST,P39105,Color [DarkGray],1,4,+,"carboxylic ester hydrolase activity;catalytic activity;hydrolase activity;hydrolase activity, acting on ester bonds;lipase activity;lysophospholipase activity;phospholipase activity",anchored to membrane;cell part;cytoplasmic part;endoplasmic reticulum;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;intrinsic to membrane;membrane;membrane part;membrane-bounded organelle;organelle;periplasmic space;plasma membrane,catabolic process;cellular lipid metabolic process;cellular metabolic process;cellular process;lipid metabolic process;metabolic process;primary metabolic process,PLB1_YEAST,9,9,9,16.9,16.9,16.9,71.667,0,45.807,1110100000,54,-0.8558877,-0.9758509,-0.588778,-0.7886867,-0.2645012,-0.8792188,-0.5293149,-1.719834,-0.3720989,-1.488091,-0.4937533,-1.381085
+,1.328504779,0.869663626,sp|P53615|CAN_YEAST,sp|P53615|CAN_YEAST,P53615,Color [DarkGray],1,4,,binding;carbonate dehydratase activity;carbon-oxygen lyase activity;catalytic activity;cation binding;hydro-lyase activity;ion binding;lyase activity;metal ion binding;transition metal ion binding;zinc ion binding,cell part;cytoplasmic part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;membrane-bounded organelle;membrane-enclosed lumen;mitochondrial intermembrane space;mitochondrial part;nucleus;organelle;organelle envelope lumen;organelle part,carbon utilization;cellular process;metabolic process;response to chemical stimulus;response to oxidative stress;response to stimulus;response to stress,CAN_YEAST,9,9,9,64.3,64.3,64.3,24.859,0,104.02,397100000,34,-1.133451,-1.031158,-0.7058737,-0.3257339,-0.6550084,-0.9561198,-1.078467,-1.241478,-1.143753,-1.730852,-1.406059,-1.949673
+,1.83104403,0.425884585,sp|Q3E7X9|RS28A_YEAST,sp|Q3E7X9|RS28A_YEAST,Q3E7X9,Color [DarkGray],1,4,,structural constituent of ribosome;structural molecule activity,cell part;cytosolic small ribosomal subunit;intracellular organelle part;intracellular part;macromolecular complex;organelle part;ribonucleoprotein complex;small ribosomal subunit,biosynthetic process;cellular metabolic process;cellular process;cytoplasmic translation;establishment of localization;macromolecule metabolic process;metabolic process;nuclear transport;nucleobase-containing compound transport;nucleocytoplasmic transport;primary metabolic process;protein metabolic process;translation;transport,RS28A_YEAST,9,9,1,73.1,73.1,16.4,7.5917,0,138.38,9884900000,282,1.135532,0.9658712,1.296204,1.244663,1.09429,1.052714,0.9223082,0.7869216,0.5666302,0.6120499,0.4958159,0.5866231
+,1.465810226,0.63233116,sp|P24000|RL24B_YEAST,sp|P24000|RL24B_YEAST,P24000,Color [DarkGray],1,4,,binding;nucleic acid binding;RNA binding;structural constituent of ribosome;structural molecule activity,cell part;cytosolic large ribosomal subunit;intracellular organelle part;intracellular part;large ribosomal subunit;macromolecular complex;organelle part;ribonucleoprotein complex,biosynthetic process;cellular metabolic process;cellular process;cytoplasmic translation;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;translation,RL24B_YEAST,10,10,2,33.5,33.5,7.7,17.547,0,53.477,6547700000,236,0.9803259,0.789848,1.008622,0.9381396,1.346335,1.113756,0.5572041,0.4967774,0.6266504,0.486848,0.6498691,-0.03887551
+,1.651636733,0.77902923,sp|P39931|SS120_YEAST,sp|P39931|SS120_YEAST,P39931,Color [DarkGray],1,4,,binding;calcium ion binding;cation binding;ion binding;metal ion binding,,,SS120_YEAST,10,10,10,41,41,41,27.289,0,107.22,913750000,69,-1.070369,-0.6255535,-0.2566689,-0.9527158,-0.578541,-0.8709655,-1.535546,-1.404433,-1.238664,-1.40394,-0.9273741,-1.977949
+,1.375524551,-1.136380186,sp|P00128|QCR7_YEAST,sp|P00128|QCR7_YEAST,P00128,Color [DarkGray],1,4,,,cell part;cytoplasmic part;intracellular organelle part;intracellular part;macromolecular complex;membrane part;mitochondrial membrane part;mitochondrial part;mitochondrial respiratory chain complex III;organelle part;protein complex;respiratory chain complex III,cellular component assembly;cellular component organization;cellular macromolecular complex assembly;cellular metabolic process;cellular process;cellular respiration;generation of precursor metabolites and energy;macromolecular complex assembly;metabolic process;protein complex assembly;protein complex biogenesis,QCR7_YEAST,12,12,12,73.2,73.2,73.2,14.565,0,171.3,5615200000,196,-0.05804328,-0.9899796,-0.07064766,-0.9098371,-0.4622616,0.1960773,0.4514919,0.6476886,0.7716456,0.5754918,0.6227961,0.4822208
+,2.358712971,0.498297572,sp|P05756|RS13_YEAST,sp|P05756|RS13_YEAST,P05756,Color [DarkGray],1,4,,binding;nucleic acid binding;RNA binding;rRNA binding;SSU rRNA binding;structural constituent of ribosome;structural molecule activity,cell part;cytosolic small ribosomal subunit;intracellular organelle part;intracellular part;macromolecular complex;organelle part;ribonucleoprotein complex;small ribosomal subunit,biosynthetic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cytoplasmic translation;macromolecule metabolic process;metabolic process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;protein metabolic process;RNA metabolic process;RNA processing;rRNA processing;translation,RS13_YEAST,12,12,12,70.9,70.9,70.9,17.029,0,91.028,17900000000,380,1.594103,1.626195,1.40682,1.418411,1.506073,1.69785,1.211756,1.119554,1.196337,1.065773,1.099349,1.062234
+,1.902997015,0.409366151,sp|P07560|SEC4_YEAST,sp|P07560|SEC4_YEAST,P07560,Color [DarkGray],1,4,,"binding;catalytic activity;GTP binding;GTPase activity;guanyl nucleotide binding;guanyl ribonucleotide binding;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;nucleoside-triphosphatase activity;nucleotide binding;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;pyrophosphatase activity;ribonucleotide binding",actin cap;cell cortex part;cell part;cell projection part;cytoplasmic membrane-bounded vesicle;cytoplasmic part;cytoplasmic vesicle;cytoplasmic vesicle membrane;cytoplasmic vesicle part;cytoskeletal part;incipient cellular bud site;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;mating projection tip;membrane;membrane-bounded organelle;membrane-bounded vesicle;organelle;organelle membrane;organelle part;plasma membrane;site of polarized growth;transport vesicle;transport vesicle membrane;vesicle;vesicle membrane,anatomical structure formation involved in morphogenesis;autophagy;biological regulation;catabolic process;cell budding;cell division;cellular component assembly;cellular component organization;cellular membrane organization;cellular metabolic process;cellular process;developmental process;establishment of localization;establishment or maintenance of cell polarity;exocytosis;Golgi vesicle transport;membrane fusion;membrane organization;metabolic process;organelle fusion;organelle organization;protein transport;reproduction;response to stimulus;secretion;signal transduction;transport;vesicle organization;vesicle-mediated transport,SEC4_YEAST,12,12,11,69.8,69.8,64.7,23.505,0,236.66,5451400000,253,0.6756225,0.7342436,0.4903392,0.5475466,0.4858167,0.8459304,-0.1263638,0.2700736,0.1827619,0.254643,0.1730359,0.3749056
+,2.19510613,0.37300535,sp|P0C2H8|RL31A_YEAST,sp|P0C2H8|RL31A_YEAST,P0C2H8,Color [DarkGray],1,4,,structural constituent of ribosome;structural molecule activity,cell part;cytosolic large ribosomal subunit;intracellular organelle part;intracellular part;large ribosomal subunit;macromolecular complex;organelle part;ribonucleoprotein complex,biological regulation;biosynthetic process;cellular metabolic process;cellular process;cytoplasmic translation;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;regulation of translation;translation,RL31A_YEAST,12,12,1,71.7,71.7,8,12.953,0,219.93,16919000000,359,1.326818,1.582395,1.265234,1.375546,1.504264,1.457671,1.048769,1.149496,1.20076,1.123408,1.203552,1.023692
+,2.290906263,-0.694733674,sp|P0C2H9|RL31B_YEAST,sp|P0C2H9|RL31B_YEAST,P0C2H9,Color [DarkGray],1,4,+,structural constituent of ribosome;structural molecule activity,cell part;cytosolic large ribosomal subunit;intracellular organelle part;intracellular part;large ribosomal subunit;macromolecular complex;organelle part;ribonucleoprotein complex,biological regulation;biosynthetic process;cellular metabolic process;cellular process;cytoplasmic translation;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;regulation of translation;translation,RL31B_YEAST,12,1,1,71.7,8,8,12.967,0.0025952,2.4382,983150000,38,-0.6473594,-1.048972,-0.8737219,-0.9320575,-0.9473918,-1.129377,-1.281376,-0.5483946,-0.3397856,-0.3098916,-0.6289895,-0.1679194
+,2.062312161,0.439466327,sp|P25719|CYPC_YEAST,sp|P25719|CYPC_YEAST,P25719,Color [DarkGray],1,4,,binding;catalytic activity;cis-trans isomerase activity;isomerase activity;peptide binding;peptidyl-prolyl cis-trans isomerase activity,cell part;cytoplasmic part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle lumen;intracellular organelle part;intracellular part;membrane-bounded organelle;membrane-enclosed lumen;mitochondrial matrix;mitochondrial part;mitochondrion;organelle;organelle lumen;organelle part,cell death;cellular metabolic process;cellular process;death;macromolecule metabolic process;metabolic process;primary metabolic process;protein folding;protein metabolic process,CYPC_YEAST,12,12,12,69.2,69.2,69.2,19.919,0,93.264,4687700000,111,0.6218087,0.7743427,0.4531164,0.6613418,-0.7490619,0.8251435,0.4776509,0.1727709,0.1977705,0.3286794,-0.2852718,0.4409788
+,1.852440305,-0.441449394,sp|P32610|VATD_YEAST,sp|P32610|VATD_YEAST,P32610,Color [DarkGray],1,4,,"active transmembrane transporter activity;ATPase activity;ATPase activity, coupled;ATPase activity, coupled to movement of substances;ATPase activity, coupled to transmembrane movement of ions;ATPase activity, coupled to transmembrane movement of substances;catalytic activity;cation transmembrane transporter activity;cation-transporting ATPase activity;hydrogen ion transmembrane transporter activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;inorganic cation transmembrane transporter activity;ion transmembrane transporter activity;monovalent inorganic cation transmembrane transporter activity;nucleoside-triphosphatase activity;P-P-bond-hydrolysis-driven transmembrane transporter activity;primary active transmembrane transporter activity;proton-transporting ATPase activity, rotational mechanism;pyrophosphatase activity;substrate-specific transmembrane transporter activity;substrate-specific transporter activity;transmembrane transporter activity;transporter activity","cell part;cytoplasmic part;fungal-type vacuole membrane;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane part;organelle membrane;organelle part;protein complex;proton-transporting two-sector ATPase complex, catalytic domain;proton-transporting V-type ATPase, V1 domain;vacuolar membrane;vacuolar part;vacuolar proton-transporting V-type ATPase, V1 domain",biological regulation;cellular homeostasis;cellular ion homeostasis;cellular process;homeostatic process,VATD_YEAST,12,12,12,65.2,65.2,65.2,29.194,0,305.14,1545000000,87,-0.4343111,-1.033854,-0.1289072,-0.8574136,-0.9916893,-0.7666852,-0.372161,-0.3049299,-0.5363036,-0.4904981,-0.5533417,-0.5381763
+,1.997248682,0.395073414,sp|P38061|RL32_YEAST,sp|P38061|RL32_YEAST,P38061,Color [DarkGray],1,4,,structural constituent of ribosome;structural molecule activity,cell part;cytosolic large ribosomal subunit;intracellular organelle part;intracellular part;large ribosomal subunit;macromolecular complex;organelle part;ribonucleoprotein complex,biosynthetic process;cellular metabolic process;cellular process;cytoplasmic translation;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;translation,RL32_YEAST,12,12,12,61.5,61.5,61.5,14.771,0,78.444,10815000000,268,1.049173,1.221285,0.8700075,0.9857882,1.196942,1.09418,0.7687915,0.6868575,0.8755475,0.6250317,0.9581904,0.8041441
+,2.66356177,1.537205935,sp|P43621|COPD_YEAST,sp|P43621|COPD_YEAST,P43621,Color [DarkGray],1,4,+,,AP-type membrane coat adaptor complex;cell part;clathrin adaptor complex;COPI vesicle coat;cytoplasmic part;cytoplasmic vesicle part;Golgi apparatus part;intracellular organelle part;intracellular part;macromolecular complex;membrane coat;membrane part;organelle part;protein complex;vesicle coat,cellular component organization;cellular localization;cellular process;establishment of localization;Golgi organization;Golgi vesicle transport;localization;organelle inheritance;organelle localization;organelle organization;protein transport;transport;vesicle-mediated transport,COPD_YEAST,12,12,12,25.3,25.3,25.3,60.627,0,165.24,1649000000,81,-0.9703392,-0.601814,-0.8764652,-0.256689,-0.7731454,-0.5185279,-1.891618,-1.985062,-1.811181,-2.335501,-1.523991,-1.668085
+,2.209968029,0.599992096,sp|P46673|NUP85_YEAST,sp|P46673|NUP85_YEAST,P46673,Color [DarkGray],1,4,,structural constituent of nuclear pore;structural molecule activity,cell part;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane part;nuclear membrane;nuclear part;nuclear pore;Nup107-160 complex;organelle membrane;organelle part;pore complex;protein complex,biological regulation;cellular component organization;cellular localization;cellular process;establishment of localization;localization;nuclear transport;nucleobase-containing compound transport;nucleocytoplasmic transport;nucleus organization;organelle organization;protein targeting;protein transport;ribosomal subunit export from nucleus;transport,NUP85_YEAST,12,12,12,22.2,22.2,22.2,84.897,0,59.444,249060000,51,-0.8056058,-0.8173969,-0.9272539,-0.9886485,-0.5223458,-0.700605,-1.594407,-1.301146,-1.082982,-1.567466,-1.66125,-1.438015
